KPI,Building_1,Building_10,Building_11,Building_12,Building_13,Building_14,Building_15,Building_16,Building_17,Building_2,Building_3,Building_4,Building_5,Building_6,Building_7,Building_8,Building_9,District
district_comfort_resilience_discomfort_cold_ratio,,,,,,,,,,,,,,,,,,
district_comfort_resilience_discomfort_hot_delta_average_c,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_discomfort_hot_delta_max_c,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_discomfort_hot_delta_min_c,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_discomfort_hot_ratio,,,,,,,,,,,,,,,,,,
district_comfort_resilience_discomfort_overall_ratio,,,,,,,,,,,,,,,,,,
district_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,,,,,,,,,,,,
district_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,,,,,,,,,,,,0.0
district_cost_community_market_counterfactual_daily_average_eur,,,,,,,,,,,,,,,,,,65.85200784148118
district_cost_community_market_counterfactual_total_eur,,,,,,,,,,,,,,,,,,5484.923486463371
district_cost_community_market_savings_daily_average_eur,,,,,,,,,,,,,,,,,,7.722420855841556
district_cost_community_market_savings_total_eur,,,,,,,,,,,,,,,,,,643.2133037844696
district_cost_community_market_settled_daily_average_eur,,,,,,,,,,,,,,,,,,58.129586985639634
district_cost_community_market_settled_total_eur,,,,,,,,,,,,,,,,,,4841.710182678901
district_cost_daily_average_baseline_eur,,,,,,,,,,,,,,,,,,40.967510245483865
district_cost_daily_average_business_as_usual_eur,,,,,,,,,,,,,,,,,,69.38529744871695
district_cost_daily_average_control_eur,,,,,,,,,,,,,,,,,,58.129586985639634
district_cost_daily_average_delta_eur,,,,,,,,,,,,,,,,,,17.16207674015577
district_cost_daily_average_delta_to_business_as_usual_eur,,,,,,,,,,,,,,,,,,-11.255710463077321
district_cost_ratio_to_baseline_total_ratio,,,,,,,,,,,,,,,,,,1.418919202981042
district_cost_ratio_to_business_as_usual_total_ratio,,,,,,,,,,,,,,,,,,0.8377796035046694
district_cost_total_baseline_eur,,,,,,,,,,,,,,,,,,3412.2522075300935
district_cost_total_business_as_usual_eur,,,,,,,,,,,,,,,,,,5779.2170666660495
district_cost_total_control_eur,,,,,,,,,,,,,,,,,,4841.710182678901
district_cost_total_delta_eur,,,,,,,,,,,,,,,,,,1429.4579751488077
district_cost_total_delta_to_business_as_usual_eur,,,,,,,,,,,,,,,,,,-937.5068839871483
district_deferrable_appliance_ratio_to_business_as_usual_average_start_delay_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_ratio_to_business_as_usual_completed_cycles_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_ratio_to_business_as_usual_missed_cycles_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_ratio_to_business_as_usual_served_energy_total_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_ratio_to_business_as_usual_service_level_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_ratio_to_business_as_usual_unserved_energy_total_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_service_average_start_delay_business_as_usual_hours,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_average_start_delay_delta_to_business_as_usual_hours,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_average_start_delay_hours,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_completed_cycles_business_as_usual_count,,,,,,,,,,,,,,,,,,84.0
district_deferrable_appliance_service_completed_cycles_count,,,,,,,,,,,,,,,,,,84.0
district_deferrable_appliance_service_completed_cycles_delta_to_business_as_usual_count,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_missed_cycles_business_as_usual_count,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_missed_cycles_count,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_missed_cycles_delta_to_business_as_usual_count,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_served_energy_total_business_as_usual_kwh,,,,,,,,,,,,,,,,,,1516.478
district_deferrable_appliance_service_served_energy_total_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_served_energy_total_kwh,,,,,,,,,,,,,,,,,,1516.478
district_deferrable_appliance_service_service_level_business_as_usual_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_service_service_level_delta_to_business_as_usual_ratio,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_service_level_ratio,,,,,,,,,,,,,,,,,,1.0
district_deferrable_appliance_service_unserved_energy_total_business_as_usual_kwh,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_unserved_energy_total_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,0.0
district_deferrable_appliance_service_unserved_energy_total_kwh,,,,,,,,,,,,,,,,,,0.0
district_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,,,,,,,,,,,,
district_electrical_service_phase_violations_energy_total_kwh,,,,,,,,,,,,,,,,,,0.0
district_electrical_service_phase_violations_event_count,,,,,,,,,,,,,,,,,,0.0
district_emissions_daily_average_baseline_kgco2,,,,,,,,,,,,,,,,,,53.47243708071465
district_emissions_daily_average_business_as_usual_kgco2,,,,,,,,,,,,,,,,,,85.63191401411727
district_emissions_daily_average_control_kgco2,,,,,,,,,,,,,,,,,,72.42408823763274
district_emissions_daily_average_delta_kgco2,,,,,,,,,,,,,,,,,,18.951651156918096
district_emissions_daily_average_delta_to_business_as_usual_kgco2,,,,,,,,,,,,,,,,,,-13.207825776484526
district_emissions_ratio_to_baseline_total_ratio,,,,,,,,,,,,,,,,,,1.7700698809484317
district_emissions_ratio_to_business_as_usual_total_ratio,,,,,,,,,,,,,,,,,,0.8457604746017111
district_emissions_total_baseline_kgco2,,,,,,,,,,,,,,,,,,4453.808405181191
district_emissions_total_business_as_usual_kgco2,,,,,,,,,,,,,,,,,,7132.424838092518
district_emissions_total_control_kgco2,,,,,,,,,,,,,,,,,,6032.323016126161
district_emissions_total_delta_kgco2,,,,,,,,,,,,,,,,,,1578.5146109449697
district_emissions_total_delta_to_business_as_usual_kgco2,,,,,,,,,,,,,,,,,,-1100.1018219663574
district_energy_grid_community_market_grid_export_after_local_daily_average_kwh,,,,,,,,,,,,,,,,,,130.8274571924209
district_energy_grid_community_market_grid_export_after_local_total_kwh,,,,,,,,,,,,,,,,,,10896.836955318724
district_energy_grid_community_market_grid_import_after_local_daily_average_kwh,,,,,,,,,,,,,,,,,,391.0616537267034
district_energy_grid_community_market_grid_import_after_local_total_kwh,,,,,,,,,,,,,,,,,,32572.176908320005
district_energy_grid_community_market_local_export_daily_average_kwh,,,,,,,,,,,,,,,,,,58.15695145841264
district_energy_grid_community_market_local_export_total_kwh,,,,,,,,,,,,,,,,,,4843.98941522362
district_energy_grid_community_market_local_import_daily_average_kwh,,,,,,,,,,,,,,,,,,58.1569514584127
district_energy_grid_community_market_local_import_total_kwh,,,,,,,,,,,,,,,,,,4843.989415223625
district_energy_grid_community_market_local_traded_daily_average_kwh,,,,,,,,,,,,,,,,,,58.1569514584127
district_energy_grid_community_market_local_traded_total_kwh,,,,,,,,,,,,,,,,,,4843.989415223625
district_energy_grid_daily_average_export_baseline_kwh,,,,,,,,,,,,,,,,,,166.02210707626324
district_energy_grid_daily_average_export_business_as_usual_kwh,,,,,,,,,,,,,,,,,,85.75592061498259
district_energy_grid_daily_average_export_control_kwh,,,,,,,,,,,,,,,,,,130.8274571924209
district_energy_grid_daily_average_export_delta_kwh,,,,,,,,,,,,,,,,,,-35.19464988384234
district_energy_grid_daily_average_export_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,45.07153657743831
district_energy_grid_daily_average_import_baseline_kwh,,,,,,,,,,,,,,,,,,267.26820788161643
district_energy_grid_daily_average_import_business_as_usual_kwh,,,,,,,,,,,,,,,,,,453.52833099773954
district_energy_grid_daily_average_import_control_kwh,,,,,,,,,,,,,,,,,,391.06165372670375
district_energy_grid_daily_average_import_delta_kwh,,,,,,,,,,,,,,,,,,123.79344584508732
district_energy_grid_daily_average_import_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,-62.46667727103579
district_energy_grid_daily_average_net_exchange_baseline_kwh,,,,,,,,,,,,,,,,,,101.2461008053532
district_energy_grid_daily_average_net_exchange_business_as_usual_kwh,,,,,,,,,,,,,,,,,,367.772410382757
district_energy_grid_daily_average_net_exchange_control_kwh,,,,,,,,,,,,,,,,,,260.2341965342829
district_energy_grid_daily_average_net_exchange_delta_kwh,,,,,,,,,,,,,,,,,,158.98809572892966
district_energy_grid_daily_average_net_exchange_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,-107.53821384847413
district_energy_grid_ratio_to_baseline_export_total_ratio,,,,,,,,,,,,,,,,,,0.7880122683440256
district_energy_grid_ratio_to_baseline_import_total_ratio,,,,,,,,,,,,,,,,,,1.8884962221645603
district_energy_grid_ratio_to_baseline_net_exchange_total_ratio,,,,,,,,,,,,,,,,,,-0.2691156821038848
district_energy_grid_ratio_to_business_as_usual_export_total_ratio,,,,,,,,,,,,,,,,,,1.5255792982480532
district_energy_grid_ratio_to_business_as_usual_import_total_ratio,,,,,,,,,,,,,,,,,,0.8622651045115257
district_energy_grid_ratio_to_business_as_usual_net_exchange_total_ratio,,,,,,,,,,,,,,,,,,0.707595755384276
